Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
13,"1 BHK Flat for Sale in Enclave, Gurgaon","A beautiful 1 BHK apartment located in Enclave, Gurgaon, close to schools and markets.",64.61 Lac,,"Enclave, Gurgaon",334 sqft,Ready to Move,6 out of 11,New Property,Unfurnished,North-West,,Society 281,1.0,1.0,1.0,Co-operative Society,505 sqft,18x18,
14,"4 BHK Flat for Sale in Sector 25, Nagpur","A beautiful 4 BHK apartment located in Sector 25, Nagpur, close to schools and markets.",1.4 Cr,13985008.0,"Sector 25, Nagpur",1359 sqft,Under Construction,23 out of 28,New Property,Furnished,South-West,Not Available,Society 197,4.0,1.0,2.0,Freehold,2043 sqft,36x36,
15,"3 BHK Flat for Sale in Sector 58, Jaipur","A beautiful 3 BHK apartment located in Sector 58, Jaipur, close to schools and markets.",85.15 Lac,8514882.0,"Sector 58, Jaipur",1248 sqft,Under Construction,2 out of 10,New Property,Furnished,South,,Society 127,,2.0,,Power Of Attorney,1690 sqft,35x35,1743 sqft
16,"4 BHK Flat for Sale in Sector 1, Jaipur","A beautiful 4 BHK apartment located in Sector 1, Jaipur, close to schools and markets.",1.44 Cr,14402224.0,"Sector 1, Jaipur",174.6 sqm,Ready to Move,18 out of 18,Resale,Semi-Furnished,South-West,Not Available,Society 153,4.0,1.0,0.0,Power Of Attorney,2207 sqft,43x43,
17,"3 BHK Flat for Sale in Sector 42, Lucknow","A beautiful 3 BHK apartment located in Sector 42, Lucknow, close to schools and markets.",81.59 Lac,8158540.0,"Sector 42, Lucknow",1334 sqft,Ready to Move,Ground out of 18,New Property,Furnished,North,Club,Society 195,3.0,0.0,0.0,Leasehold,1547 sqft,36x36,1559 sqft
18,"4 BHK Flat for Sale in Sector 4, Delhi","A beautiful 4 BHK apartment located in Sector 4, Delhi, close to schools and markets.",1.95 Cr,19502607.0,"Sector 4, Delhi",1555 sqft,Under Construction,6 out of 21,New Property,Unfurnished,North-West,,Society 295,4.0,1.0,0.0,Co-operative Society,164.9 sqm,39x39,
19,"4 BHK Flat for Sale in Sector 35, Chandigarh","A beautiful 4 BHK apartment located in Sector 35, Chandigarh, close to schools and markets.",Call for Price,14734523.0,"Sector 35, Chandigarh",151.4 sqm,Under Construction,Ground out of 8,New Property,Semi-Furnished,North,Pool,Society 276,4.0,1.0,2.0,Power Of Attorney,2044 sqft,40x40,
20,"4 BHK Flat for Sale in Phase 2, Hyderabad","A beautiful 4 BHK apartment located in Phase 2, Hyderabad, close to schools and markets.",1.73 Cr,,"Phase 2, Hyderabad",1509 sqft,Ready to Move,9 out of 10,Resale,Unfurnished,North-East,Main Road,Society 252,3.0,2.0,2.0,Co-operative Society,2072 sqft,38x38,
21,"3 BHK Flat for Sale in Sector 37, Chandigarh","A beautiful 3 BHK apartment located in Sector 37, Chandigarh, close to schools and markets.",1.29 Cr,12933388.0,"Sector 37, Chandigarh",90.2 sqm,Under Construction,Basement out of 9,New Property,Furnished,South-West,Garden/Park,Society 100,3.0,3.0,2.0,Co-operative Society,1239 sqft,31x31,
22,"5 BHK Flat for Sale in Sector 11, Ahmedabad","A beautiful 5 BHK apartment located in Sector 11, Ahmedabad, close to schools and markets.",10.68 Cr,,"Sector 11, Ahmedabad",2121 sqft,Ready to Move,13 out of 15,New Property,Unfurnished,North-East,Main Road,Society 61,5.0,2.0,0.0,Leasehold,2916 sqft,46x46,327.6 sqm
23,"3 BHK Flat for Sale in Sector 34, Hyderabad","A beautiful 3 BHK apartment located in Sector 34, Hyderabad, close to schools and markets.",1.19 Cr,,"Sector 34, Hyderabad",105.2 sqm,Under Construction,3 out of 27,New Property,Semi-Furnished,South-East,Not Available,Society 321,3.0,,1.0,Power Of Attorney,1532 sqft,33x33,
24,"3 BHK Flat for Sale in Sector 3, Nagpur","A beautiful 3 BHK apartment located in Sector 3, Nagpur, close to schools and markets.",63.06 Lac,,"Sector 3, Nagpur",115.9 sqm,Under Construction,7 out of 15,Resale,Furnished,North-West,Main Road,Society 345,3.0,2.0,2.0,Co-operative Society,134.0 sqm,35x35,
25,"5 BHK Flat for Sale in Phase 7, Faridabad","A beautiful 5 BHK apartment located in Phase 7, Faridabad, close to schools and markets.",1.3 Cr,,"Phase 7, Faridabad",1691 sqft,Ready to Move,13 out of 16,Resale,Semi-Furnished,South,Pool,Society 1,5.0,2.0,,Power Of Attorney,2511 sqft,41x41,
26,"4 BHK Flat for Sale in Sector 35, Chandigarh","A beautiful 4 BHK apartment located in Sector 35, Chandigarh, close to schools and markets.",1.27 Cr,,"Sector 35, Chandigarh",1424 sqft,Under Construction,3 out of 17,Resale,Furnished,South-West,Club,Society 248,4.0,2.0,1.0,Co-operative Society,168.6 sqm,37x37,
27,"4 BHK Flat for Sale in Sector 6, Ghaziabad","A beautiful 4 BHK apartment located in Sector 6, Ghaziabad, close to schools and markets.",87.31 Lac,,"Sector 6, Ghaziabad",1532 sqft,Ready to Move,Ground out of 16,New Property,Semi-Furnished,,,Society 243,4.0,2.0,0.0,Power Of Attorney,2092 sqft,39x39,
28,"2 BHK Flat for Sale in Phase 4, Thane","A beautiful 2 BHK apartment located in Phase 4, Thane, close to schools and markets.",1.03 Cr,10304988.0,"Phase 4, Thane",732 sqft,Ready to Move,4 out of 4,New Property,Furnished,North-East,Club,Society 19,1.0,2.0,1.0,Co-operative Society,885 sqft,27x27,917 sqft
29,"3 BHK Flat for Sale in Phase 1, Hyderabad","A beautiful 3 BHK apartment located in Phase 1, Hyderabad, close to schools and markets.",1.0 Cr,10027020.0,"Phase 1, Hyderabad",1320 sqft,Ready to Move,2 out of 3,Resale,Unfurnished,South,Club,Society 236,3.0,1.0,2.0,Power Of Attorney,1585 sqft,36x36,1931 sqft
30,"3 BHK Flat for Sale in Phase 5, Pune","A beautiful 3 BHK apartment located in Phase 5, Pune, close to schools and markets.",1.18 Cr,,"Phase 5, Pune",1144 sqft,Under Construction,22 out of 22,Resale,Semi-Furnished,North,,Society 147,2.0,1.0,0.0,Freehold,150.2 sqm,33x33,
31,"2 BHK Flat for Sale in Sector 38, Jaipur","A beautiful 2 BHK apartment located in Sector 38, Jaipur, close to schools and markets.",62.23 Lac,6222600.0,"Sector 38, Jaipur",681 sqft,Ready to Move,11 out of 22,New Property,Unfurnished,North-East,Pool,Society 174,1.0,2.0,,Power Of Attorney,1059 sqft,26x26,1345 sqft
32,"3 BHK Flat for Sale in Sector 15, Ghaziabad","A beautiful 3 BHK apartment located in Sector 15, Ghaziabad, close to schools and markets.",96.68 Lac,9668474.0,"Sector 15, Ghaziabad",1204 sqft,Ready to Move,6 out of 13,New Property,Unfurnished,South-West,Pool,Society 20,3.0,3.0,2.0,Power Of Attorney,1649 sqft,34x34,
33,"4 BHK Flat for Sale in Sector 51, Pune","A beautiful 4 BHK apartment located in Sector 51, Pune, close to schools and markets.",1.5 Cr,,"Sector 51, Pune",1245 sqft,Ready to Move,1 out of 2,New Property,Unfurnished,North,Not Available,Society 63,4.0,2.0,1.0,Leasehold,1822 sqft,35x35,
34,"3 BHK Flat for Sale in Sector 42, Hyderabad","A beautiful 3 BHK apartment located in Sector 42, Hyderabad, close to schools and markets.",1.27 Cr,12664183.0,"Sector 42, Hyderabad",1043 sqft,Under Construction,13 out of 16,New Property,Unfurnished,East,,,3.0,0.0,1.0,Co-operative Society,122.2 sqm,32x32,
35,"5 BHK Flat for Sale in Nagar, Surat","A beautiful 5 BHK apartment located in Nagar, Surat, close to schools and markets.",1.13 Cr,,"Nagar, Surat",1792 sqft,Under Construction,4 out of 4,Resale,Semi-Furnished,South-West,Garden/Park,Society 196,4.0,2.0,1.0,Leasehold,216.7 sqm,42x42,
36,"5 BHK Flat for Sale in Sector 17, Navi Mumbai","A beautiful 5 BHK apartment located in Sector 17, Navi Mumbai, close to schools and markets.",3.84 Cr,38397850.0,"Sector 17, Navi Mumbai",2027 sqft,Under Construction,12 out of 25,New Property,Semi-Furnished,South-West,Garden/Park,Society 301,4.0,,1.0,Leasehold,2528 sqft,45x45,
37,"3 BHK Flat for Sale in Sector 4, Indore","A beautiful 3 BHK apartment located in Sector 4, Indore, close to schools and markets.",52.15 Lac,5215177.0,"Sector 4, Indore",86.1 sqm,Under Construction,Basement out of 12,New Property,Furnished,South,Club,Society 337,3.0,2.0,0.0,Freehold,127.4 sqm,30x30,
38,"4 BHK Flat for Sale in Sector 35, Bangalore","A beautiful 4 BHK apartment located in Sector 35, Bangalore, close to schools and markets.",3.03 Cr,,"Sector 35, Bangalore",1549 sqft,Under Construction,5 out of 12,New Property,Furnished,East,,Society 218,4.0,3.0,1.0,Power Of Attorney,1960 sqft,39x39,
39,"3 BHK Flat for Sale in Phase 6, Hyderabad","A beautiful 3 BHK apartment located in Phase 6, Hyderabad, close to schools and markets.",1.24 Cr,12428473.0,"Phase 6, Hyderabad",1079 sqft,Under Construction,9 out of 28,New Property,Semi-Furnished,,Not Available,Society 343,2.0,2.0,2.0,Power Of Attorney,1182 sqft,32x32,1618 sqft
40,"2 BHK Flat for Sale in Sector 22, Thane","A beautiful 2 BHK apartment located in Sector 22, Thane, close to schools and markets.",1.73 Cr,17315360.0,"Sector 22, Thane",716 sqft,Under Construction,19 out of 27,New Property,Unfurnished,South-West,Not Available,,2.0,1.0,1.0,Freehold,1084 sqft,26x26,
41,"5 BHK Flat for Sale in Sector 36, Ahmedabad","A beautiful 5 BHK apartment located in Sector 36, Ahmedabad, close to schools and markets.",1.63 Cr,,"Sector 36, Ahmedabad",1644 sqft,Ready to Move,Ground out of 10,New Property,Semi-Furnished,South,Club,Society 181,,0.0,2.0,Power Of Attorney,1970 sqft,40x40,
42,"3 BHK Flat for Sale in Phase 9, Lucknow","A beautiful 3 BHK apartment located in Phase 9, Lucknow, close to schools and markets.",52.94 Lac,,"Phase 9, Lucknow",97.2 sqm,Under Construction,Ground out of 20,Resale,Semi-Furnished,North,Pool,Society 82,2.0,0.0,2.0,Leasehold,1429 sqft,32x32,
43,"5 BHK Flat for Sale in Sector 12, Chandigarh","A beautiful 5 BHK apartment located in Sector 12, Chandigarh, close to schools and markets.",1.49 Cr,,"Sector 12, Chandigarh",1771 sqft,Ready to Move,5 out of 16,New Property,Furnished,North,Main Road,Society 217,5.0,1.0,,Co-operative Society,2250 sqft,42x42,3103 sqft
44,"4 BHK Flat for Sale in Sector 30, Lucknow","A beautiful 4 BHK apartment located in Sector 30, Lucknow, close to schools and markets.",1.45 Cr,,"Sector 30, Lucknow",1598 sqft,Ready to Move,13 out of 15,New Property,Furnished,,Pool,Society 159,4.0,2.0,1.0,Co-operative Society,220.2 sqm,39x39,
45,"4 BHK Flat for Sale in Sector 58, Hyderabad","A beautiful 4 BHK apartment located in Sector 58, Hyderabad, close to schools and markets.",1.22 Cr,12243260.0,"Sector 58, Hyderabad",1317 sqft,Under Construction,2 out of 12,New Property,Furnished,South-West,Main Road,Society 14,4.0,0.0,1.0,Freehold,152.5 sqm,36x36,
46,"3 BHK Flat for Sale in Sector 31, Ahmedabad","A beautiful 3 BHK apartment located in Sector 31, Ahmedabad, close to schools and markets.",88.19 Lac,8819454.0,"Sector 31, Ahmedabad",111.1 sqm,Ready to Move,16 out of 20,Resale,Semi-Furnished,South,Main Road,Society 25,3.0,2.0,1.0,Freehold,136.3 sqm,34x34,1997 sqft
47,"2 BHK Flat for Sale in Sector 33, Navi Mumbai","A beautiful 2 BHK apartment located in Sector 33, Navi Mumbai, close to schools and markets.",77.79 Lac,,"Sector 33, Navi Mumbai",767 sqft,Under Construction,23 out of 24,Resale,Unfurnished,North,,Society 183,2.0,1.0,1.0,Power Of Attorney,991 sqft,27x27,
48,"3 BHK Flat for Sale in Sector 25, Pune","A beautiful 3 BHK apartment located in Sector 25, Pune, close to schools and markets.",94.33 Lac,,"Sector 25, Pune",1141 sqft,Under Construction,11 out of 15,Resale,Unfurnished,West,Main Road,Society 25,3.0,2.0,1.0,Freehold,129.3 sqm,33x33,
49,"2 BHK Flat for Sale in Sector 56, Navi Mumbai","A beautiful 2 BHK apartment located in Sector 56, Navi Mumbai, close to schools and markets.",1.62 Cr,16232347.0,"Sector 56, Navi Mumbai",787 sqft,Ready to Move,Basement out of 6,New Property,Furnished,North-West,Not Available,Society 30,2.0,3.0,0.0,Leasehold,1069 sqft,28x28,
50,"2 BHK Flat for Sale in Sector 15, Hyderabad","A beautiful 2 BHK apartment located in Sector 15, Hyderabad, close to schools and markets.",96.43 Lac,9643446.0,"Sector 15, Hyderabad",744 sqft,Under Construction,5 out of 15,Resale,Furnished,South-West,Pool,,1.0,2.0,1.0,Leasehold,1026 sqft,27x27,105.2 sqm
51,"1 BHK Flat for Sale in Sector 18, Chennai","A beautiful 1 BHK apartment located in Sector 18, Chennai, close to schools and markets.",42.69 Lac,4268572.0,"Sector 18, Chennai",372 sqft,Under Construction,3 out of 5,Resale,Unfurnished,West,,Society 253,1.0,,2.0,Power Of Attorney,480 sqft,19x19,
52,"2 BHK Flat for Sale in Phase 6, Ghaziabad","A beautiful 2 BHK apartment located in Phase 6, Ghaziabad, close to schools and markets.",42.73 Lac,,"Phase 6, Ghaziabad",733 sqft,Ready to Move,4 out of 8,Resale,Furnished,North,Not Available,Society 29,1.0,0.0,1.0,Freehold,941 sqft,27x27,
53,"4 BHK Flat for Sale in Sector 34, Nagpur","A beautiful 4 BHK apartment located in Sector 34, Nagpur, close to schools and markets.",1.02 Cr,,"Sector 34, Nagpur",1410 sqft,Ready to Move,8 out of 21,New Property,Furnished,South-West,Pool,Society 393,4.0,3.0,2.0,Leasehold,2280 sqft,37x37,
54,"2 BHK Flat for Sale in Sector 16, Lucknow","A beautiful 2 BHK apartment located in Sector 16, Lucknow, close to schools and markets.",44.73 Lac,,"Sector 16, Lucknow",636 sqft,Under Construction,1 out of 8,Resale,Semi-Furnished,South-West,,Society 127,2.0,3.0,1.0,Power Of Attorney,862 sqft,25x25,
55,"2 BHK Flat for Sale in Sector 2, Indore","A beautiful 2 BHK apartment located in Sector 2, Indore, close to schools and markets.",53.29 Lac,,"Sector 2, Indore",901 sqft,Ready to Move,Basement out of 13,Resale,Semi-Furnished,West,,Society 221,1.0,1.0,0.0,Co-operative Society,111.4 sqm,30x30,
56,"4 BHK Flat for Sale in Sector 43, Noida","A beautiful 4 BHK apartment located in Sector 43, Noida, close to schools and markets.",Call for Price,,"Sector 43, Noida",1488 sqft,Under Construction,1 out of 11,Resale,Unfurnished,East,Garden/Park,Society 266,4.0,3.0,1.0,Co-operative Society,1659 sqft,38x38,
57,"4 BHK Flat for Sale in Sector 30, Nagpur","A beautiful 4 BHK apartment located in Sector 30, Nagpur, close to schools and markets.",93.23 Lac,9322872.0,"Sector 30, Nagpur",1414 sqft,Under Construction,5 out of 5,New Property,Furnished,North,Main Road,Society 299,3.0,2.0,0.0,Power Of Attorney,1865 sqft,37x37,
58,"4 BHK Flat for Sale in Phase 9, Jaipur","A beautiful 4 BHK apartment located in Phase 9, Jaipur, close to schools and markets.",1.02 Cr,,"Phase 9, Jaipur",1662 sqft,Under Construction,20 out of 24,Resale,Furnished,North-East,Main Road,Society 89,3.0,1.0,1.0,Co-operative Society,2210 sqft,40x40,
59,"2 BHK Flat for Sale in Sector 19, Navi Mumbai","A beautiful 2 BHK apartment located in Sector 19, Navi Mumbai, close to schools and markets.",79.72 Lac,,"Sector 19, Navi Mumbai",718 sqft,Ready to Move,7 out of 7,New Property,Unfurnished,,Main Road,Society 148,2.0,3.0,0.0,Leasehold,911 sqft,26x26,
60,"3 BHK Flat for Sale in Phase 3, Jaipur","A beautiful 3 BHK apartment located in Phase 3, Jaipur, close to schools and markets.",75.94 Lac,7593870.0,"Phase 3, Jaipur",1120 sqft,Under Construction,Ground out of 18,Resale,Semi-Furnished,North-East,Garden/Park,Society 388,3.0,1.0,0.0,Leasehold,1564 sqft,33x33,1923 sqft
61,"4 BHK Flat for Sale in Sector 15, Chennai","A beautiful 4 BHK apartment located in Sector 15, Chennai, close to schools and markets.",13.26 Cr,132580027.0,"Sector 15, Chennai",1682 sqft,Ready to Move,8 out of 10,Resale,Semi-Furnished,West,,Society 375,3.0,1.0,2.0,Freehold,175.6 sqm,41x41,
62,"2 BHK Flat for Sale in Sector 31, Navi Mumbai","A beautiful 2 BHK apartment located in Sector 31, Navi Mumbai, close to schools and markets.",1.26 Cr,,"Sector 31, Navi Mumbai",64.7 sqm,Under Construction,21 out of 29,New Property,Semi-Furnished,South-West,,,2.0,3.0,1.0,Leasehold,1043 sqft,26x26,
63,"3 BHK Flat for Sale in Phase 9, Bangalore","A beautiful 3 BHK apartment located in Phase 9, Bangalore, close to schools and markets.",99.94 Lac,,"Phase 9, Bangalore",94.0 sqm,Under Construction,5 out of 17,New Property,Furnished,,Garden/Park,Society 361,2.0,1.0,2.0,Power Of Attorney,110.6 sqm,31x31,
64,"3 BHK Flat for Sale in Sector 10, Chennai","A beautiful 3 BHK apartment located in Sector 10, Chennai, close to schools and markets.",1.27 Cr,12742930.0,"Sector 10, Chennai",114.3 sqm,Ready to Move,29 out of 30,Resale,Semi-Furnished,South-East,Not Available,,,1.0,2.0,Power Of Attorney,135.2 sqm,35x35,
65,"4 BHK Flat for Sale in Phase 1, Ahmedabad","A beautiful 4 BHK apartment located in Phase 1, Ahmedabad, close to schools and markets.",93.09 Lac,9309436.0,"Phase 1, Ahmedabad",154.5 sqm,Ready to Move,2 out of 9,New Property,Unfurnished,West,Club,Society 279,3.0,0.0,2.0,Leasehold,179.3 sqm,40x40,
66,"3 BHK Flat for Sale in Sector 41, Nagpur","A beautiful 3 BHK apartment located in Sector 41, Nagpur, close to schools and markets.",73.83 Lac,,"Sector 41, Nagpur",106.5 sqm,Under Construction,8 out of 14,Resale,Unfurnished,,Club,Society 396,3.0,,1.0,Power Of Attorney,143.5 sqm,33x33,
67,"5 BHK Flat for Sale in Sector 8, Lucknow","A beautiful 5 BHK apartment located in Sector 8, Lucknow, close to schools and markets.",Call for Price,12089584.0,"Sector 8, Lucknow",1879 sqft,Ready to Move,2 out of 3,Resale,Semi-Furnished,South,Not Available,Society 214,5.0,3.0,0.0,Freehold,2415 sqft,43x43,
68,"3 BHK Flat for Sale in Sector 32, Jaipur","A beautiful 3 BHK apartment located in Sector 32, Jaipur, close to schools and markets.",80.57 Lac,,"Sector 32, Jaipur",96.8 sqm,Ready to Move,10 out of 21,Resale,Furnished,North-West,Garden/Park,Society 361,3.0,2.0,2.0,Co-operative Society,1411 sqft,32x32,155.6 sqm
69,"4 BHK Flat for Sale in Sector 44, Indore","A beautiful 4 BHK apartment located in Sector 44, Indore, close to schools and markets.",63.54 Lac,6353805.0,"Sector 44, Indore",1594 sqft,Ready to Move,Basement out of 6,Resale,Furnished,South,,Society 251,3.0,,0.0,Leasehold,179.7 sqm,39x39,2357 sqft
70,"5 BHK Flat for Sale in Sector 3, Mumbai","A beautiful 5 BHK apartment located in Sector 3, Mumbai, close to schools and markets.",7.16 Cr,,"Sector 3, Mumbai",1947 sqft,Under Construction,4 out of 26,Resale,Furnished,South-East,,Society 141,5.0,2.0,,Co-operative Society,288.9 sqm,44x44,
71,"1 BHK Flat for Sale in Sector 49, Faridabad","A beautiful 1 BHK apartment located in Sector 49, Faridabad, close to schools and markets.",24.94 Lac,2494423.0,"Sector 49, Faridabad",417 sqft,Ready to Move,9 out of 21,New Property,Furnished,West,Pool,Society 244,1.0,0.0,0.0,Power Of Attorney,478 sqft,20x20,
72,"5 BHK Flat for Sale in Sector 31, Nagpur","A beautiful 5 BHK apartment located in Sector 31, Nagpur, close to schools and markets.",1.15 Cr,,"Sector 31, Nagpur",178.5 sqm,Ready to Move,1 out of 24,New Property,Semi-Furnished,South-East,Pool,Society 200,4.0,1.0,,Freehold,2206 sqft,43x43,
73,"2 BHK Flat for Sale in Sector 38, Surat","A beautiful 2 BHK apartment located in Sector 38, Surat, close to schools and markets.",43.91 Lac,4391491.0,"Sector 38, Surat",611 sqft,Ready to Move,11 out of 24,Resale,Semi-Furnished,West,,Society 366,2.0,0.0,,Co-operative Society,922 sqft,24x24,
74,"2 BHK Flat for Sale in Sector 38, Mumbai","A beautiful 2 BHK apartment located in Sector 38, Mumbai, close to schools and markets.",2.49 Cr,,"Sector 38, Mumbai",829 sqft,Under Construction,11 out of 22,New Property,Furnished,North-East,Garden/Park,Society 399,2.0,1.0,1.0,Power Of Attorney,1201 sqft,28x28,1452 sqft
75,"2 BHK Flat for Sale in Sector 57, Thane","A beautiful 2 BHK apartment located in Sector 57, Thane, close to schools and markets.",1.34 Cr,,"Sector 57, Thane",734 sqft,Ready to Move,5 out of 6,Resale,Semi-Furnished,South-East,Not Available,Society 334,2.0,3.0,1.0,Co-operative Society,990 sqft,27x27,
76,"3 BHK Flat for Sale in Sector 53, Bangalore","A beautiful 3 BHK apartment located in Sector 53, Bangalore, close to schools and markets.",1.64 Cr,16449527.0,"Sector 53, Bangalore",1094 sqft,Ready to Move,2 out of 3,New Property,Unfurnished,West,,Society 72,2.0,2.0,2.0,Co-operative Society,1463 sqft,33x33,
77,"3 BHK Flat for Sale in Sector 14, Ghaziabad","A beautiful 3 BHK apartment located in Sector 14, Ghaziabad, close to schools and markets.",98.93 Lac,9892970.0,"Sector 14, Ghaziabad",1109 sqft,Ready to Move,6 out of 8,New Property,Semi-Furnished,South-East,Garden/Park,,3.0,3.0,1.0,Power Of Attorney,1405 sqft,33x33,
78,"1 BHK Flat for Sale in Sector 41, Lucknow","A beautiful 1 BHK apartment located in Sector 41, Lucknow, close to schools and markets.",27.54 Lac,,"Sector 41, Lucknow",35.4 sqm,Under Construction,4 out of 22,Resale,Unfurnished,South-East,Main Road,,1.0,1.0,1.0,Power Of Attorney,598 sqft,19x19,
79,"2 BHK Flat for Sale in Sector 14, Bangalore","A beautiful 2 BHK apartment located in Sector 14, Bangalore, close to schools and markets.",94.94 Lac,,"Sector 14, Bangalore",680 sqft,Ready to Move,15 out of 16,Resale,Semi-Furnished,North-East,Not Available,Society 275,1.0,2.0,0.0,Power Of Attorney,886 sqft,26x26,
80,"2 BHK Flat for Sale in Sector 24, Ghaziabad","A beautiful 2 BHK apartment located in Sector 24, Ghaziabad, close to schools and markets.",39.21 Lac,,"Sector 24, Ghaziabad",776 sqft,Under Construction,Ground out of 15,Resale,Semi-Furnished,South-East,Club,Society 276,2.0,2.0,,Power Of Attorney,947 sqft,27x27,
81,"2 BHK Flat for Sale in Nagar, Jaipur","A beautiful 2 BHK apartment located in Nagar, Jaipur, close to schools and markets.",58.12 Lac,5812128.0,"Nagar, Jaipur",716 sqft,Ready to Move,Ground out of 25,New Property,Unfurnished,East,Pool,Society 294,1.0,1.0,0.0,Co-operative Society,1041 sqft,26x26,
82,"1 BHK Flat for Sale in Sector 18, Gurgaon","A beautiful 1 BHK apartment located in Sector 18, Gurgaon, close to schools and markets.",48.58 Lac,,"Sector 18, Gurgaon",393 sqft,Ready to Move,3 out of 10,Resale,Furnished,North,Main Road,Society 106,1.0,2.0,0.0,Freehold,528 sqft,19x19,68.3 sqm
